timestamp,flavor,count
2026-01-20 14:33:18,whole,0
2026-01-20 14:33:18,1pct,0
2026-01-20 14:33:18,2pct,0
2026-01-20 14:33:23,whole,1
2026-01-20 14:33:23,1pct,1
2026-01-20 14:33:23,2pct,2
2026-01-20 14:33:28,whole,2
2026-01-20 14:33:28,1pct,1
2026-01-20 14:33:28,2pct,1
2026-01-20 14:33:33,whole,1
2026-01-20 14:33:33,1pct,0
2026-01-20 14:33:33,2pct,1
2026-01-20 14:33:38,whole,1
2026-01-20 14:33:38,1pct,0
2026-01-20 14:33:38,2pct,1
2026-01-20 14:33:44,whole,2
2026-01-20 14:33:44,1pct,0
2026-01-20 14:33:44,2pct,1
2026-01-20 14:33:49,whole,1
2026-01-20 14:33:49,1pct,0
2026-01-20 14:33:49,2pct,1
2026-01-20 14:33:54,whole,2
2026-01-20 14:33:54,1pct,1
2026-01-20 14:33:54,2pct,1
2026-01-20 14:33:59,whole,2
2026-01-20 14:33:59,1pct,1
2026-01-20 14:33:59,2pct,1
2026-01-20 14:34:04,whole,2
2026-01-20 14:34:04,1pct,1
2026-01-20 14:34:04,2pct,1
2026-01-20 14:34:09,whole,1
2026-01-20 14:34:09,1pct,0
2026-01-20 14:34:09,2pct,2
2026-01-20 14:34:14,whole,1
2026-01-20 14:34:14,1pct,1
2026-01-20 14:34:14,2pct,2
2026-01-20 14:34:19,whole,0
2026-01-20 14:34:19,1pct,1
2026-01-20 14:34:19,2pct,1
2026-01-20 14:34:24,whole,1
2026-01-20 14:34:24,1pct,1
2026-01-20 14:34:24,2pct,1
2026-01-20 14:34:29,whole,1
2026-01-20 14:34:29,1pct,1
2026-01-20 14:34:29,2pct,1
2026-01-20 14:34:34,whole,0
2026-01-20 14:34:34,1pct,1
2026-01-20 14:34:34,2pct,0
2026-01-20 14:34:39,whole,0
2026-01-20 14:34:39,1pct,1
2026-01-20 14:34:39,2pct,0
2026-01-20 14:34:44,whole,0
2026-01-20 14:34:44,1pct,1
2026-01-20 14:34:44,2pct,1
2026-01-20 14:34:49,whole,1
2026-01-20 14:34:49,1pct,0
2026-01-20 14:34:49,2pct,1
2026-01-20 14:34:54,whole,2
2026-01-20 14:34:54,1pct,1
2026-01-20 14:34:54,2pct,1
2026-01-20 14:34:59,whole,0
2026-01-20 14:34:59,1pct,0
2026-01-20 14:34:59,2pct,0
2026-01-20 15:46:48,whole,0
2026-01-20 15:46:48,1pct,0
2026-01-20 15:46:48,2pct,0
2026-01-20 15:46:53,whole,2
2026-01-20 15:46:53,1pct,0
2026-01-20 15:46:53,2pct,0
2026-01-20 15:46:58,whole,2
2026-01-20 15:46:58,1pct,1
2026-01-20 15:46:58,2pct,0
2026-01-20 15:47:03,whole,2
2026-01-20 15:47:03,1pct,1
2026-01-20 15:47:03,2pct,1
2026-01-20 15:47:08,whole,3
2026-01-20 15:47:08,1pct,1
2026-01-20 15:47:08,2pct,0
2026-01-20 15:47:13,whole,3
2026-01-20 15:47:13,1pct,1
2026-01-20 15:47:13,2pct,0
2026-01-20 15:47:18,whole,3
2026-01-20 15:47:18,1pct,1
2026-01-20 15:47:18,2pct,0
2026-01-20 15:47:23,whole,3
2026-01-20 15:47:23,1pct,1
2026-01-20 15:47:23,2pct,0
2026-01-20 15:47:28,whole,3
2026-01-20 15:47:28,1pct,1
2026-01-20 15:47:28,2pct,0
2026-01-20 15:47:33,whole,3
2026-01-20 15:47:33,1pct,1
2026-01-20 15:47:33,2pct,0
2026-01-20 15:47:38,whole,3
2026-01-20 15:47:38,1pct,1
2026-01-20 15:47:38,2pct,1
2026-01-20 15:47:43,whole,3
2026-01-20 15:47:43,1pct,1
2026-01-20 15:47:43,2pct,0
2026-01-20 15:47:49,whole,3
2026-01-20 15:47:49,1pct,1
2026-01-20 15:47:49,2pct,2
2026-01-20 15:47:54,whole,3
2026-01-20 15:47:54,1pct,1
2026-01-20 15:47:54,2pct,1
2026-01-20 15:47:59,whole,3
2026-01-20 15:47:59,1pct,1
2026-01-20 15:47:59,2pct,1
2026-01-20 15:48:04,whole,3
2026-01-20 15:48:04,1pct,1
2026-01-20 15:48:04,2pct,1
2026-01-20 15:48:09,whole,3
2026-01-20 15:48:09,1pct,1
2026-01-20 15:48:09,2pct,1
2026-01-20 15:48:14,whole,3
2026-01-20 15:48:14,1pct,1
2026-01-20 15:48:14,2pct,1
2026-01-20 15:48:19,whole,2
2026-01-20 15:48:19,1pct,1
2026-01-20 15:48:19,2pct,1
2026-01-20 15:48:24,whole,2
2026-01-20 15:48:24,1pct,1
2026-01-20 15:48:24,2pct,1
2026-01-20 15:48:29,whole,2
2026-01-20 15:48:29,1pct,1
2026-01-20 15:48:29,2pct,1
2026-01-20 15:48:34,whole,3
2026-01-20 15:48:34,1pct,1
2026-01-20 15:48:34,2pct,1
2026-01-20 15:48:39,whole,2
2026-01-20 15:48:39,1pct,1
2026-01-20 15:48:39,2pct,0
2026-01-20 15:48:44,whole,2
2026-01-20 15:48:44,1pct,1
2026-01-20 15:48:44,2pct,1
2026-01-20 15:48:49,whole,3
2026-01-20 15:48:49,1pct,1
2026-01-20 15:48:49,2pct,0
2026-01-20 15:48:54,whole,3
2026-01-20 15:48:54,1pct,1
2026-01-20 15:48:54,2pct,1
2026-01-20 15:48:59,whole,3
2026-01-20 15:48:59,1pct,1
2026-01-20 15:48:59,2pct,1
2026-01-20 15:49:04,whole,3
2026-01-20 15:49:04,1pct,1
2026-01-20 15:49:04,2pct,1
2026-01-20 15:49:10,whole,3
2026-01-20 15:49:10,1pct,1
2026-01-20 15:49:10,2pct,1
2026-01-20 15:49:15,whole,3
2026-01-20 15:49:15,1pct,1
2026-01-20 15:49:15,2pct,0
2026-01-20 15:49:20,whole,2
2026-01-20 15:49:20,1pct,1
2026-01-20 15:49:20,2pct,1
2026-01-20 15:49:25,whole,2
2026-01-20 15:49:25,1pct,1
2026-01-20 15:49:25,2pct,1
2026-01-20 15:49:30,whole,2
2026-01-20 15:49:30,1pct,1
2026-01-20 15:49:30,2pct,1
2026-01-20 15:49:35,whole,2
2026-01-20 15:49:35,1pct,1
2026-01-20 15:49:35,2pct,1
2026-01-20 15:49:40,whole,2
2026-01-20 15:49:40,1pct,1
2026-01-20 15:49:40,2pct,1
2026-01-20 15:49:45,whole,0
2026-01-20 15:49:45,1pct,0
2026-01-20 15:49:45,2pct,0
2026-01-20 15:49:50,whole,0
2026-01-20 15:49:50,1pct,0
2026-01-20 15:49:50,2pct,0
2026-01-20 15:49:55,whole,0
2026-01-20 15:49:55,1pct,0
2026-01-20 15:49:55,2pct,0
2026-01-20 15:50:00,whole,0
2026-01-20 15:50:00,1pct,0
2026-01-20 15:50:00,2pct,0
2026-01-20 15:50:05,whole,0
2026-01-20 15:50:05,1pct,0
2026-01-20 15:50:05,2pct,0
2026-01-20 15:50:10,whole,0
2026-01-20 15:50:10,1pct,0
2026-01-20 15:50:10,2pct,0
2026-01-20 15:50:16,whole,0
2026-01-20 15:50:16,1pct,0
2026-01-20 15:50:16,2pct,0
